pretty_comp,delta_e
ReSi2,-0.312221560896
SmClO,-3.45610402177
Al2S3O12,-2.09769776485
Na2H14SO11,-1.279543162
NaB3O5,-2.65002868044
As2Pb3O8,-1.41927516128
ScAsO4,-2.47536769923
IrBr3,-0.457683572132
CaAl4O7,-3.45395343574
CaZn2,-0.3252307926
GeO2,-2.00342030051
Fe3P,-0.424960980675
Mg7Si8H2O24,-3.05528568117
PuIO,-2.85913934355
OsO2,-1.01915321667
Ca3Ti2O7,-3.41200405292
La4Co3O10,-2.77731952853
PuO2,-3.64753208867
GeRu,-0.29360940483
BaI2,-2.09358254
Na2S3,-0.896770534604
Na2WO4,-2.2871426853
B4PbO7,-2.47211159108
MgSiO3,-3.209814419
FeTe2,-0.250066342755
MnBr2,-1.32983257419
U4O9,-3.59719894154
Ce2O3,-3.7305153438
GdClO,-3.38221368618
Sb2O3,-1.46871448314
KFeO2,-1.787836575
NbO,-2.17470886342
UCl4,-2.1118236552
CsH,-0.2800425754
Na3AsO4,-1.995121975
CrBr2,-1.02951748667
PuBr3,-2.0554575728
FeWO4,-2.05559749045
FeCu5S4,-0.394180135202
Al4C3,-0.306338209
K2Si4O9,-2.9820077644
HgTe,-0.234869386392
EuBr3,-1.9513847556
FeSi,-0.40862170902
MgV2O6,-2.54306941404
MgMoO4,-2.41971156933
Li4SiO4,-2.68327495543
CoS,-0.50784923
FeSO4,-1.60447191016
Zr3Si2,-0.920475692948
V3B2,-0.629645985332
B5H7,-0.0124673531208
KH,-0.2996310457
Li2B8O13,-2.67019194214
SiMo3,-0.301380016262
ZnH14SO11,-1.1817340654
Si2Te3,-0.147172634
VF3,-3.3606145475
CaAl4,-0.446650288504
LiNO2,-0.95429016025
YCuO2,-2.7015506182
Ca3SiO5,-3.37322440933
MnI2,-0.838372709813
NiWO4,-1.94820637947
LiC,-0.153942575164
ZnH4SO6,-1.37844791
P2Os,-0.52615253082
LaSe,-1.86465654424
SiB14,-0.115637615147
Zr5Si4,-0.915180011612
Ce7Ru3,-0.23715522614
Cs2S,-1.18239392392
ZrB2,-1.11445613407
LiAlSi2O6,-3.1659735569
TiSi,-0.67214363804
K3Bi,-0.448819530215
Tb6O11,-3.48647336508
CrAsO4,-1.85244052467
KF,-2.94659305381
MoCl3,-1.09870589843
NbBr5,-0.960515631763
ZnH12SO10,-1.20008314175
NbCl4,-1.43968830858
NiAs,-0.379803856285
Mg2GeO4,-2.742830025
PbF2,-2.33541550667
Li2B4O7,-2.6889062088
NbCl2O,-2.0055898877
CuBr2,-0.478483798333
MnP3,-0.551915514973
TaF5,-3.28823739533
Ni3P,-0.518527019167
Mn5Si3,-0.26018463408
CaSi2,-0.52165443764
GaS,-1.084102642
CoSi2,-0.340408229588
TbPO4,-3.40483543283
Gd2O3,-3.813014933
LiCrO2,-2.40451064
US,-1.58712730432
NaAlSi2H2O7,-2.63321818884
Mg3Si4H2O12,-2.92297090833
FeCuS2,-0.49326670211
TaC,-0.746730107095
PdI2,-0.218409716467
AgBr,-0.52036926816
U2Cl5O2,-2.5305401632
Ca2B2O5,-3.14890705897
FeI2,-0.397297016667
Te2Au,-0.0643234234253
MoC2l2O2,-1.500746296
Al3Ni2,-0.58541542668
Ca2Pb,-0.735859715243
YbCl2,-2.76229214991
MoCl4,-0.988701609504
PrF3,-4.3765202929
MoCl2O,-1.373265775
GeTe,-0.1036427
TiO,-2.79698481636
MoOF4,-2.36650831667
CaB4O7,-2.88660465905
Li3AlF6,-3.5068543972
Re2S7,-0.519887905398
GdI3,-1.59532025975
NiBr2,-0.732062937667
MoCl3O,-1.276878064
AgP2,-0.149663513557
CdWO4,-2.03863463522
Mn3C,-0.039027695112
DyI3,-1.60983023775
La2CrO4,-3.228618166
SnO,-1.45467711585
CuP2,-0.418029011423
Ce2SO2,-3.51682482494
CoP,-0.7588718494
CaH2,-0.61149193
Ni11As8,-0.422227268091
U3Ge5,-0.310595147826
MnCO3,-1.85511727013
Ta2N,-0.93811153478
YMnO3,-3.0633672839
PtS2,-0.381605511887
RbHO,-1.446852092
LuI3,-1.5261387575
WCl4O,-1.24198502167
UI3,-1.19370479725
Ca3Si2H6O10,-2.36045262177
MnAl2O4,-3.1098288257
Si3W5,-0.199032850013
TiI2,-0.902797012133
LiAl,-0.253681054655
NaTe3,-0.4741653525
PdF2,-1.61892661205
KBO2,-2.55956530134
BeF2,-3.54803509667
YS,-2.3837821
LiBH4,-0.32900338688
K2CO3,-1.98907615083
MgAl2O4,-3.4245324812
NbF5,-3.133118821
FeB,-0.375706860354
SbO2,-1.56761311128
Na2UO4,-2.7975977889
HfCl2,-1.87911124613
GaSb,-0.215519812515
NaHO,-1.47103538867
SeCl4,-0.391143404092
FeSiO3,-2.39369034212
Si2W,-0.32169657653
ZrCl2,-1.72737833333
MgTl,-0.247175402376
AgF,-1.05157956274
IrS2,-0.459658829257
ZrI2,-0.960422353333
ZnSb,-0.098653340422
SrAl2O4,-3.441826006
NiBi,-0.04032737457
AuBr,-0.073718979656
PbCl2,-1.24166027454
MgHClO,-2.071817573
BiBr3,-0.71550774372
UH2O4,-2.2766155482
LiBeF3,-3.42402315136
XeF4,-0.55368003194
Si3Ru2,-0.49461405721
Pu2C3,-0.309620129126
AuSe,-0.041195900396
BaH2O2,-1.9497264724
SiB6,-0.17345642272
Al3Co,-0.394614398115
LaN,-1.5719488309
Ca2Al2SiO7,-3.44245773293
CrCl2,-1.366010786
ZnF2,-2.640815996
LaPO4,-3.4041444815
Ubr2O2,-2.39889320566
NbI5,-0.463973820333
KSb2,-0.370764485467
CrB4,-0.25866108639
MnF2,-2.95381695
DyCl3,-2.57318913425
Al2S3,-1.344245819
LaBr3,-2.35033400964
Mn11Si19,-0.290785832206
In2O3,-1.913244242
UBr3,-1.86790833395
BaF2,-4.1759716684
Fe2NiO4,-1.6057067389
UCl3,-2.31455914067
SrCu,-0.010348723595
SrMnO3,-2.53700746768
SmH3O3,-2.082626026
CrSi,-0.367931585
MgCu2,-0.121419495904
MnSi,-0.31438976618
Kal3Si3H2O12,-2.953520828
NbClO2,-2.5476412087
ZrC,-1.01905648348
BaO,-2.83980998
ZnSeO3,-1.35209364424
ZrF4,-3.9618458502
KBF4,-3.25952836743
Ag2SO4,-1.05994204802
Sc2O3,-3.9562491444
KCrO2,-2.2816940405
Lu2O3,-3.8932343828
CdSiO3,-2.46480996286
CdSO4,-1.61242130525
Tb2O3,-3.8662872808
XeF2,-0.562296195067
PbS,-0.51543587564
Co3O4,-1.35623876
BaO2,-2.19133142513
SiRu2,-0.364767027893
UBr4,-1.663465335
Pd4S,-0.143101548744
Cr2CoO4,-2.1130673676
ZnO,-1.8163383175
HgSe,-0.307818819
ThCl4,-2.45998021304
Ti2O3,-3.15256219152
AgI,-0.3204632284
MoCl6,-0.77435903
AuCl3,-0.306800529473
ZnSO4,-1.69047807738
CdI2,-0.702497130113
Cu2Se,-0.228384289915
Na5Al3F14,-3.55918453864
Pr3S4,-2.3014009596
Nb2N,-0.865765475423
Sm2Zr2O7,-3.83575037255
VBr3,-1.15998982694
Ga2Te3,-0.569804763206
NiSO4,-1.50784236619
Na3PO4,-2.48340864537
Na4P2O7,-2.52449699654
Pr2O3,-3.7510365984
BaS,-2.43560345
CeRu2,-0.3080261044
Mg2Ge,-0.359926913803
TiN,-1.74974270061
CaMgC2O6,-2.4110401301
HfC,-1.1925129062
BeCl2,-1.71432626265
NaH,-0.2921687713
Bi2Se3,-0.290539508056
CdGa2O4,-2.0089952907
BeSO4,-2.07425317645
LaS,-2.36334375956
Sn2Au,-0.14657150634
NaBO2,-2.52921094557
HgBr,-0.529041571083
WBr6,-0.50797952368
GaN,-0.568070820835
CrB,-0.39162430622
KPH2O4,-2.03182444614
Na2SiO3,-2.69718035102
ThC2,-0.432196968513
Nd2Te3,-1.64783601584
Cr3C2,-0.176925551174
Ga2Se3,-0.841263650192
Cs2O3,-1.07803125263
CrF4,-2.58449655282
UO3,-3.1709484065
ReO3,-1.52641600172
Fe4N,-0.0229829760104
NbB2,-0.8672821136
CdCl2,-1.35295871531
TePb,-0.355585666576
NbCl5,-1.37753239948
SiC,-0.3794359247
NiP3,-0.408707214248
Ni5P2,-0.57922055444
HfCl4,-2.05285717746
CaCl2,-2.7478789051
SrCu5,-0.003425391235
Al6Si2O13,-3.3655301727
TiS,-1.373265775
Pb5SO8,-1.3447196142
HgF2,-1.45992489123
LuCl3,-2.55764272925
HgSO4,-1.22212362559
NaAlSi2O6,-3.14323434852
NdSe,-1.86465654424
Sr4Mn3O10,-2.62669620228
PmI3,-1.6401457275
CaH6N2O9,-1.05830712556
LaH2,-0.695269779167
SnAu,-0.1578478321
Na2B4O7,-2.62275824865
ScN,-1.626153963
Ca3B2O6,-3.23090099742
CsHO,-1.43786972467
SeO2,-0.779047628333
TbO2,-3.35638247058
NiCl2,-1.053009832
NbCr2,-0.0722735094667
PbN2O6,-0.526097254713
Mn23C6,-0.0950653731034
Rh2O3,-0.73718979656
CaMoO4,-2.6640319608
HgO,-0.4709524288
Sb2S3O12,-1.46471521618
Ca2Cu,-0.02006522672
SmOF,-3.96927357703
MoO3,-1.9293088605
HfI,-0.741527243555
CrSi2,-0.345475666667
Ca2V2O7,-2.91012684092
Ga2Se2O12,-1.20602913361
MnP,-0.58541542668
Ca6Si6H2O19,-3.14901070167
Ba2TiO4,-3.32100823
Rb2S,-1.20263188848
P2S3,-0.323495813802
CaCN2,-0.908477495783
UCl2O,-2.7644617371
AlH12CI3O6,-1.26802132418
DyH12CI3O6,-1.35206613182
SbCl3,-0.989785193932
Na2Ti2O5,-2.92467031959
PuBrO,-3.07018006405
Y2Cu2O5,-2.55632416379
SrF2,-4.2048879817
As2O3,-1.3633160758
UB4,-0.509095015254
CaI2,-1.853131476
Na3AlCl6,-2.051089033
B10Pb2O17,-2.50704186139
Ni3Sn4,-0.34877101099
BaCl2,-2.95450790133
TiF4,-3.4187581022
BaWO4,-2.94172530167
UB12,-0.345244995222
Mg3P2,-0.962683146096
Na2S,-1.29369581945
BeH2O2,-1.87766577594
YF3,-4.45241265997
SrCl2,-2.86347506317
HfBr4,-1.59059622548
CrS,-0.699588225
MnFe2O4,-1.8157164613
Te2Pd,-0.187911124613
Cu3AsO4,-0.92029535465
CdH2O2,-1.163907521
CdFe2O4,-1.5951796018
NaAlSi3O8,-3.13133297755
NaBi,-0.3290655725
Ti4O7,-3.20776040913
Ni3N,0.00216820787507
OsO4,-0.816909688546
SrC2,-0.259099840487
MoC,-0.052036926816
HgCl2,-0.795008604133
K2B4O7,-2.652216693
InF3,-3.083370325
Mn2P,-0.65151874074
BMo,-0.64253291865
CaCl2O,-1.933972782
ZnBr2,-1.13661494333
V2B3,-0.71550774372
VB2,-0.703944673157
Na3AlF6,-3.4434250648
NaAlCl4,-1.97306335368
Ag3Sb,-0.05962564531
K2S,-1.3009231704
MoCl2,-1.00187943333
Ca3V2O8,-3.01564380681
CeC2,-0.2168205284
HoF3,-4.39929577623
UI4,-1.0615085334
ZnP2,-0.351248565057
ReO2,-1.522511263
Cs2CO3,-1.9604016705
WF5,-2.50124382667
BiI3,-0.39027695112
Fe2SiO4,-2.1899850571
CaSi2H4O7,-2.3236989462
CdBr2,-1.09234223665
CaO2,-2.25493349536
AgBrO3,-0.02168205284
PmCl3,-2.668799525
Rb2O2,-1.062337675
MgGeO3,-2.51874562394
NaI,-1.50090176005
CuH2O2,-0.92242003
Ni3S4,-0.44583388015
BH3O3,-1.620971828
Ca3P2O8,-3.28531413969
ZnCl2,-1.43717877333
Na2Sn,-0.225493349536
NbCl3,-1.50690267238
LiNO3,-1.0005666258
CaPH5O6,-1.93028150738
ICl,-0.18356158597
Fe2P,-0.553624755833
CaMgO2,-3.22302886325
ZrSi2,-0.583432396353
U5Ge3,-0.304633101509
Mg3Sb2,-0.62218785664
PdCl2,-0.686453240153
Ucl2O2,-2.57755249192
Ag2CO3,-0.873063648882
Ca12Al14O33,-3.41318247627
NaS,-1.04290466875
CeN,-1.715286685
K3AsO4,-2.16192194531
Na2H20SO14,-1.21256356692
GeP,-0.108819652865
ZrI4,-1.0098944688
SnI4,-0.430117205
Nd2Zr2O7,-3.81304319919
Ce2S3O12,-2.41079016829
ErI3,-1.5396123085
TcO3,-1.39849240818
MoBr4,-0.630147616
Ce2S3,-2.46308949404
Sn3As2O8,-1.42370787984
Mo3C2,-0.121159352727
MgSe,-1.4136708816
B4C,-0.128516948
Ti3As2O8,-2.08661456155
Mn2O3,-1.98347460837
B5W2,-0.290939865
Nd2S3,-2.39369034212
TlCl,-1.0576737535
PrI3,-1.7230598875
TiI,-0.67327334347
BAs,-0.39027695112
CeSi2,-0.6504615852
ScCl3,-2.39694990504
KNO3,-1.023989876
Sr4Ti3O10,-3.44387621538
BaCO3,-2.516444756
PuI3,-1.50256522538
Ni3S2,-0.448385267302
CdAu,-0.20121193778
CuSO4,-1.33005022386
TiBr2,-1.36808364
Na3Sb,-0.511696965237
CaH4N2O8,-1.06459017635
Mn3As2O8,-1.8865044254
LaB6,-0.15425291102
CuH2SO5,-1.24695987127
MoAsO4,-1.573104447
CuMoO4,-1.57484046223
Mn5C2,-0.11252636
Na4V2O7,-2.33298123197
K3PO4,-2.59845204237
ReS2,-0.617216461797
Tl2Te3,-0.186465654424
In2Te,-0.276084806163
Ce3S4,-2.4469745348
RbF,-2.9004409595
U2S3,-1.770217316
PrAl2,-0.578188075733
WC2l2O2,-1.61748114186
PtS,-0.431472851516
LiAlSiO4,-3.145111762
TiSi2,-0.463994548873
ScI3,-1.47364372995
NiS2,-0.453879021353
EuI3,-1.375338629
UAl2,-0.341130964683
CaMgSi2O6,-3.31908491761
SrMn3O6,-2.2752681931
CaCr2O4,-2.732909938
AuI,0.006504615852
PbCO3,-1.44922758268
NiSb,-0.4336410568
UH3,-0.329568239595
BaSn3,-0.50410772853
AlNi3,-0.396780530545
Li2CrO4,-2.056123107
CuSeO3,-0.896414003716
Li2Te,-1.22864966093
HfI2,-0.965573395523
MgFe2O4,-2.1291764044
WO2,-2.03817860734
Pb3SO6,-1.45009610851
UBr3O,-1.97749857029
CaSi,-0.78248165646
Ir2S3,-0.435376035598
UGe2,-0.302103269571
SrS,-2.4874248
Tl2SO4,-1.37959834397
ZnTe,-0.61149193
Nd2Se3,-1.9513847556
MoPbO4,-1.81910212283
Sn2S3,-0.546387731568
NbC,-0.7197985515
SnTe,-0.31438976618
CeAl4,-0.337893857686
Ba2Sn,-1.3009231704
Sb2Se3,-0.264521044648
Pb2O3,-1.0192223118
Cr3Si,-0.357567315
Ca5Si6H6O20,-2.7831538381
AlH3,-0.0295381695
CaWO4,-2.84179646508
CaN2O6,-1.07880304527
La2CoO4,-3.018667668
TaCl3O,-1.84991233374
BHO,-1.45365796263
ZnH2SO5,-1.49881163227
LiBO2,-2.6416451376
AlN,-1.64783601584
K4FeO3,-1.45488440125
Sr3Mn2O7,-2.51099487736
Al2Si2O7,-3.14805279186
CaSiO3,-3.38899191876
Ta2Si,-0.41195900396
TiFe,-0.210316948975
PbSO4,-1.5946068525
Cr8O21,-1.68521958034
CoP3,-0.726115574065
Cu2SO4,-1.112530354
NaO2,-0.900527237003
FeS,-0.5249502755
BeO,-3.157993069
CeCl3,-2.74575422975
PtBr4,-0.329567203168
Nb2C,-0.673587726327
BaPb3,-0.45532310964
PH3O4,-1.66393172715
PrH2,-0.69093405955
TiBr,-1.06795510934
CeNi5,-0.2976618344
SnI2,-0.497098027253
IrI2,-0.289094037867
Ca3As2O8,-2.62990162244
Nd2O3,-3.7483418882
Cu2Sb,-0.0397504302067
TbI3,-1.580551175
Ba2Pb,-1.01182913253
Al2Te3,-0.660869385134
CaH8N2O10,-1.05238304043
BW2,-0.231814172333
KBr,-2.03891101575
K2SO3,-1.94632353708
SrCuO2,-1.99071716025
DyF3,-4.38411212067
Rb3AsO4,-2.16224582875
Ca2Fe2O5,-2.46356394729
YbI3,-1.44762941225
CsCl,-2.29211013185
CaCu5,-0.013473551
SmCl3,-2.65662150775
VCl2,-1.55809525667
H4IN,-0.349080705248
CeBr3,-2.28745657462
Na2SO3,-1.89139290608
CeO2,-3.76706666933
NaF,-2.98171756484
TePd,-0.19513847556
PuS,-2.2766155482
SnSO4,-1.752598057
Li2TiO3,-2.88587916015
CoSO4,-1.5343662605
Tl2O,-0.583971338393
KB3O5,-2.67219094446
CrN,-0.606309795
Mg2Al4Si5O18,-3.27360114002
MnS2,-0.773326551293
OsS2,-0.510250285883
SbClO,-1.29225173117
PuCl3,-2.61410209007
Pt5Se4,-0.279457569938
MnB2,-0.3252307926
KBH4,-0.391938689077
SrI2,-1.96230178667
MgS,-1.80338298
ThH2,-0.48264332536
MoF3,-2.357871425
H4N2O3,-0.421019679111
Fe3O4,-1.6596009429
Sr3As2O8,-2.64453916068
Bi2O3,-1.1821486362
CeF3,-4.37607981142
RbO2,-0.964222585667
NaTe,-0.91065658355
TiCl2,-1.77919968333
LaMnO3,-2.9540242354
NpCl4,-2.0467857881
RuO2,-1.05374914993
Al2Se3,-1.17516726393
VN,-1.12530061525
SiRu,-0.549176756625
SnN2O6,-0.525238171889
LiI,-1.415759282
CdS,-0.774210969
BeCO3,-2.16613243
Cs2O,-1.19672770933
KI,-1.7064770555
UBr5,-1.40066026799
Na2CrO4,-1.987274742
HfN,-1.91322351346
ZrCl4,-2.0309823492
Th2S3,-2.246973736
SrSiO3,-3.3868361506
CrCl3,-1.476908475
FeCuO2,-1.3291139848
LiCl,-2.11568952791
US2O8,-2.18397781853
HgI,-0.308557273237
NaSn,-0.23850258124
MgB2,-0.37234676402
Ca2MgSi2O7,-3.34698553245
K2O,-1.24958548633
Li2Si2O5,-2.94909544922
H4NF,-0.807653013533
Cu3As2O8,-1.2138633024
CrAg2O4,-1.08348374702
K4CrO4,-1.82526310556
TiO2,-3.26129029333
GaBr3,-1.00171187764
CuH6SO7,-1.16157901501
Ce7Ni3,-0.22801394
PtCl3,-0.435809780298
NdS,-2.34166170672
FeMoO4,-1.8517841209
Al2NiO4,-2.836700699
GeSe,-0.35775387186
PuC2,-0.191963554183
NdH3O3,-2.095803455
CaHfO3,-3.7553895918
CsNO3,-1.04679127
CdSe,-0.750373148
CaF2,-4.24244118667
Ce2C3,-0.36599346651
CaAl2Si2H4O10,-2.65025293658
FeBr3,-0.6804143255
SiS2,-0.849389928823
AlPO4,-2.99428942435
Mo2N,-0.239948051429
RbBO2,-2.5262908125
B2S3,-0.52297069993
TaBr5,-1.03348872945
AlHO2,-2.58991447496
Re5Si3,-0.203810778483
Cs2TeO3,-1.71666858767
K2FeO2,-1.5417888052
BaCrO4,-2.49777179622
MoCl4O,-1.13143280833
MgZn2,-0.121419495904
Fe2S3O12,-1.57475328043
CoWO4,-1.96389097473
K2Se,-1.32983257419
Fe2CoO4,-1.6180994446
ZrF3,-3.6274945
PuClO,-3.2190628026
CrF2,-2.700928762
AlI3,-0.801152888865
Yb2O3,-3.7614008684
UC,-0.5029780231
ThF4,-4.34893060616
Li5FeO4,-2.04176119
ZrTe2,-1.01605084518
Al18B4O33,-3.34021577973
Ni3B,-0.230501883013
TiF2,-3.18649135674
PrO2,-3.2797732415
Mn3Si,-0.231177115204
Mg2TiO4,-3.2046026718
Mg7Al18Si3O40,-3.37826428965
CaPHO4,-2.6864039779
SrH2O2,-1.9988531122
TiC,-0.95401032496
TaCr2,-0.0932335181633
Li3N,-0.511696965237
Pb4SO7,-1.40496316742
P3N5,-0.414723672983
ZnSe,-0.917237895
SiP,-0.175126106617
ThS2,-2.16268458285
W2C,-0.0910639309767
Al9Co2,-0.312221749337
P2S5,-0.27567181468
BaHfO3,-3.79782091318
ThRe2,-0.60131421686
Pb4Br2O3,-1.11734891699
Al3Ni,-0.39027695112
Cr5O12,-1.80598624076
Al2SiO5,-3.36104207364
MnH2O2,-1.442706384
CaSO4,-2.48331363957
CaV2O6,-2.68953958086
Ca3Bi2,-1.09277546314
ZrSi,-0.86719919944
CeTe,-1.56110780448
NaSb,-0.342576434872
Zn3S2O9,-1.71784073725
BiAsO4,-1.37363025183
UP,-1.38879663359
SmC2,-0.332458143547
LiAlH4,-0.20236237175
Be2C,-0.313667722037
Rb2SiO3,-2.65404771403
SrWO4,-2.83238225317
NaS2,-0.711172024103
MgI2,-1.27825996667
Cs2SiO3,-2.64015959223
MnF3,-2.77529239925
Co2B,-0.4336410568
Th3P4,-1.69085662
MnMoO4,-2.05784308228
Sr3Al2O6,-3.33982005305
TiCdO3,-2.55077121824
KClO4,-0.742971331842
Pb3Br2O2,-1.09835055203
TlTe,-0.22766155482
PtI4,-0.150907916908
NiP2,-0.446651670407
TiB2,-0.965573395523
CuTe,-0.13009231704
EuF3,-4.10440638405
CuSe2,-0.166229071773
MgH2Cl2O,-1.66973571835
ThOF2,-4.314645601
KAlCl4,-2.06701546123
PbO,-1.132814711
MgCO3,-2.271847984
PrS,-2.34166170672
SrHfO3,-3.7024281721
Si3N4,-1.227277629
CeCrO3,-3.19246463102
MgB7,-0.19577069603
InN,-0.500306632507
GaF3,-3.0445043125
Al2O3,-3.47346071926
CaS,-2.461514125
Nd2S3O12,-2.37737454249
CaAl2Si2O8,-3.37069977946
MgH2,-0.261525079667
Dy2O3,-3.8611051458
Nb2O5,-2.8124779194
Al2CoO4,-2.8855756351
SnSe,-0.490014394184
CrO2,-2.00920356317
TlI,-0.64178669121
UB2,-0.568069093457
ZrS2,-1.99339459667
ThN,-2.027251212
CoO,-1.23334813
CdCO3,-1.55850637271
Na2SiF6,-3.35445356478
InBr3,-1.0338359325
PdS,-0.36642876585
